,model_id,geostore_id,sample_size,training_params,version,status,input_image_id,output_image_id
0,0,f75559fb87f5c22deb56eb2a73aa4e12,1000,"{""bucket"": ""geo-ai"", ""job_dir"": ""gs://geo-ai/Models/0/1579684545/"", ""base_names"": [""training_patches"", ""eval_patches""], ""data_dir"": ""gs://geo-ai/Data/0_1/f75559fb87f5c22deb56eb2a73aa4e12/1000"", ""in_bands"": [""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""ndvi"", ""ndwi""], ""out_bands"": [""cropland"", ""land"", ""water"", ""urban""], ""kernel_size"": 256, ""train_size"": 47000, ""eval_size"": 12000, ""model_type"": ""segmentation"", ""model_architecture"": ""segnet"", ""output_activation"": """", ""batch_size"": 16, ""epochs"": 1, ""shuffle_size"": 2000, ""learning_rate"": 0.001, ""loss"": ""mse"", ""metrics"": [""RootMeanSquaredError""]}",1579684545,COMPLETED,0,1
1,,27d4ea6fd635f3a2dc20789e8058f34d,1000,,,COMPLETED,0,2
